,date,l_ipn,r_asn,f,category
0,2006-07-01,0,701,1,0
1,2006-07-01,0,714,1,0
2,2006-07-01,0,1239,1,0
3,2006-07-01,0,1680,1,0
4,2006-07-01,0,2514,1,0
5,2006-07-01,0,3320,1,0
6,2006-07-01,0,3561,13,1
7,2006-07-01,0,4134,3,0
35,2006-07-01,1,680,1,0
36,2006-07-01,1,1239,6,0
37,2006-07-01,1,2828,2,0
38,2006-07-01,1,3265,519,1
39,2006-07-01,1,4134,9,1
40,2006-07-01,1,4804,1,0
41,2006-07-01,1,4808,3,0
54,2006-07-01,2,1312,218,1
55,2006-07-01,2,3561,8,1
56,2006-07-01,2,3659,1,0
57,2006-07-01,2,4323,8,1
69,2006-07-01,3,1239,1,0
70,2006-07-01,3,2152,1,0
71,2006-07-01,3,4134,1,0
72,2006-07-01,3,4808,7,0
78,2006-07-01,4,1239,5,0
79,2006-07-01,4,1668,1,0
80,2006-07-01,4,3356,21,1
81,2006-07-01,4,3561,10,1
82,2006-07-01,4,4323,1,0
89,2006-07-01,5,2152,3,0
90,2006-07-01,5,3561,3,0
91,2006-07-01,5,4134,1,0
92,2006-07-01,5,4808,7,0
101,2006-07-01,6,1239,2,0
102,2006-07-01,6,4134,14,1
103,2006-07-01,6,4808,8,1
104,2006-07-01,6,4837,6,0
112,2006-07-01,7,109,7,0
113,2006-07-01,7,2152,46,1
114,2006-07-01,7,3356,55,1
115,2006-07-01,7,3491,3,0
116,2006-07-01,7,3561,35,1
117,2006-07-01,7,3582,10,1
118,2006-07-01,7,4513,6,0
144,2006-07-01,8,25,4,0
145,2006-07-01,8,26,3,0
146,2006-07-01,8,109,7,0
147,2006-07-01,8,209,4,0
148,2006-07-01,8,557,10,1
149,2006-07-01,8,786,6,0
150,2006-07-01,8,1103,1,0
151,2006-07-01,8,1653,5,0
152,2006-07-01,8,1668,4,0
153,2006-07-01,8,2152,21,1
154,2006-07-01,8,2386,7,0
155,2006-07-01,8,2834,23,1
156,2006-07-01,8,3356,5,0
157,2006-07-01,8,3561,5,0
158,2006-07-01,8,3701,4,0
159,2006-07-01,8,3999,1,0
160,2006-07-01,8,4266,4,0
183,2006-07-01,9,102,43,1
184,2006-07-01,9,209,6,0
185,2006-07-01,9,559,1,0
186,2006-07-01,9,701,8,1
187,2006-07-01,9,1239,17,1
188,2006-07-01,9,2152,193,1
189,2006-07-01,9,2911,71,1
190,2006-07-01,9,3356,34,1
191,2006-07-01,9,3561,13,1
192,2006-07-01,9,4267,2,0
220,2006-07-02,0,209,1,0
221,2006-07-02,0,701,1,0
222,2006-07-02,0,766,1,0
223,2006-07-02,0,2514,1,0
224,2006-07-02,0,2711,1,0
225,2006-07-02,0,2819,1,0
226,2006-07-02,0,2856,1,0
227,2006-07-02,0,3269,8,1
228,2006-07-02,0,3320,1,0
229,2006-07-02,0,3561,14,1
230,2006-07-02,0,4766,1,0
254,2006-07-02,1,766,1,0
255,2006-07-02,1,2852,2,0
256,2006-07-02,1,2856,6,0
257,2006-07-02,1,3265,1611,1
258,2006-07-02,1,3269,50,1
259,2006-07-02,1,3354,2,0
260,2006-07-02,1,3549,1,0
261,2006-07-02,1,3561,8,1
262,2006-07-02,1,4134,2,0
263,2006-07-02,1,4323,1,0
264,2006-07-02,1,4766,1,0
265,2006-07-02,1,4808,9,1
266,2006-07-02,1,4812,1,0
267,2006-07-02,1,4837,3,0
291,2006-07-02,2,174,1,0
292,2006-07-02,2,766,1,0
293,2006-07-02,2,1312,92,1
294,2006-07-02,2,2637,1,0
295,2006-07-02,2,2915,38,1
296,2006-07-02,2,3557,1,0
297,2006-07-02,2,3561,7,0
298,2006-07-02,2,4323,16,1
305,2006-07-02,3,766,2,0
306,2006-07-02,3,3269,5,0
307,2006-07-02,3,3354,2,0
308,2006-07-02,3,3593,2,0
309,2006-07-02,3,4134,4,0
310,2006-07-02,3,4808,8,1
311,2006-07-02,3,4837,1,0
315,2006-07-02,4,766,1,0
316,2006-07-02,4,3269,29,1
